match_id,date,venue,team1,team2,winner,toss_winner,toss_decision,format,year
1273733,2021-10-28,Dubai International Cricket Stadium,Sri Lanka,Australia,Australia,Australia,field,T20,2021
1273734,2021-10-29,Sharjah Cricket Stadium,West Indies,Bangladesh,West Indies,Bangladesh,field,T20,2021
1273736,2021-10-30,Sharjah Cricket Stadium,Sri Lanka,South Africa,South Africa,South Africa,field,T20,2021
1273737,2021-10-30,Dubai International Cricket Stadium,Australia,England,England,England,field,T20,2021
1273739,2021-10-31,Dubai International Cricket Stadium,India,New Zealand,New Zealand,New Zealand,field,T20,2021
1273740,2021-11-01,Sharjah Cricket Stadium,England,Sri Lanka,England,Sri Lanka,field,T20,2021
1273741,2021-11-02,"Zayed Cricket Stadium, Abu Dhabi",Bangladesh,South Africa,South Africa,South Africa,field,T20,2021
1273742,2021-11-02,"Zayed Cricket Stadium, Abu Dhabi",Pakistan,Namibia,Pakistan,Pakistan,bat,T20,2021
1273743,2021-11-03,Dubai International Cricket Stadium,New Zealand,Scotland,New Zealand,Scotland,field,T20,2021
1273745,2021-11-04,Dubai International Cricket Stadium,Bangladesh,Australia,Australia,Australia,field,T20,2021
1273746,2021-11-04,"Zayed Cricket Stadium, Abu Dhabi",Sri Lanka,West Indies,Sri Lanka,West Indies,field,T20,2021
1273747,2021-11-05,Sharjah Cricket Stadium,New Zealand,Namibia,New Zealand,Namibia,field,T20,2021
1273748,2021-11-05,Dubai International Cricket Stadium,Scotland,India,India,India,field,T20,2021
1273749,2021-11-06,"Zayed Cricket Stadium, Abu Dhabi",West Indies,Australia,Australia,Australia,field,T20,2021
1273750,2021-11-06,Sharjah Cricket Stadium,South Africa,England,South Africa,England,field,T20,2021
1273752,2021-11-07,Sharjah Cricket Stadium,Pakistan,Scotland,Pakistan,Pakistan,bat,T20,2021
1273753,2021-11-08,Dubai International Cricket Stadium,Namibia,India,India,India,field,T20,2021
1273754,2021-11-10,"Zayed Cricket Stadium, Abu Dhabi",England,New Zealand,New Zealand,New Zealand,field,T20,2021
1273755,2021-11-11,Dubai International Cricket Stadium,Pakistan,Australia,Australia,Australia,field,T20,2021
1273756,2021-11-14,Dubai International Cricket Stadium,New Zealand,Australia,Australia,Australia,field,T20,2021
1274595,2021-08-26,La Manga Club Top Ground,Netherlands,Scotland,Scotland,Scotland,field,T20,2021
1274596,2021-08-26,La Manga Club Bottom Ground,Ireland,Germany,Ireland,Germany,field,T20,2021
1274597,2021-08-26,La Manga Club Top Ground,France,Netherlands,Netherlands,France,bat,T20,2021
1274600,2021-08-27,La Manga Club Bottom Ground,France,Germany,Germany,France,bat,T20,2021
1274601,2021-08-27,La Manga Club Top Ground,Ireland,Scotland,Scotland,Ireland,bat,T20,2021
