match_id,date,venue,team1,team2,winner,toss_winner,toss_decision,format,year
1403685,2023-10-21,"Desert Springs Cricket Ground, Almeria",Ireland,Scotland,Ireland,Ireland,bat,ODI,2023
1405124,2023-11-04,"Shere Bangla National Stadium, Mirpur",Bangladesh,Pakistan,Pakistan,Bangladesh,bat,ODI,2023
1405125,2023-11-07,"Shere Bangla National Stadium, Mirpur",Bangladesh,Pakistan,,Bangladesh,bat,ODI,2023
1405126,2023-11-10,"Shere Bangla National Stadium, Mirpur",Pakistan,Bangladesh,Bangladesh,Pakistan,bat,ODI,2023
1406078,2023-12-28,"Wankhede Stadium, Mumbai",India,Australia,Australia,India,bat,ODI,2023
1406079,2023-12-30,"Wankhede Stadium, Mumbai",Australia,India,Australia,Australia,bat,ODI,2023
1406080,2024-01-02,"Wankhede Stadium, Mumbai",Australia,India,Australia,Australia,bat,ODI,2024
1408102,2023-12-17,"University Oval, Dunedin",New Zealand,Bangladesh,New Zealand,Bangladesh,field,ODI,2023
1408106,2023-12-13,Harare Sports Club,Zimbabwe,Ireland,,Ireland,field,ODI,2023
1408107,2023-12-15,Harare Sports Club,Zimbabwe,Ireland,Ireland,Zimbabwe,bat,ODI,2023
1408108,2023-12-17,Harare Sports Club,Zimbabwe,Ireland,Ireland,Ireland,field,ODI,2023
1412539,2024-01-06,"R Premadasa Stadium, Colombo",Sri Lanka,Zimbabwe,,Sri Lanka,bat,ODI,2024
1412540,2024-01-08,"R Premadasa Stadium, Colombo",Zimbabwe,Sri Lanka,Sri Lanka,Zimbabwe,bat,ODI,2024
1412541,2024-01-11,"R Premadasa Stadium, Colombo",Zimbabwe,Sri Lanka,Sri Lanka,Zimbabwe,bat,ODI,2024
1415980,2024-01-18,Harare Sports Club,Zimbabwe,Ireland,Ireland,Ireland,field,ODI,2024
1415981,2024-01-21,Harare Sports Club,Zimbabwe,Ireland,,Ireland,field,ODI,2024
1415982,2024-01-23,Harare Sports Club,Ireland,Zimbabwe,Ireland,Zimbabwe,field,ODI,2024
1419827,2024-03-13,"Zahur Ahmed Chowdhury Stadium, Chattogram",Sri Lanka,Bangladesh,Bangladesh,Sri Lanka,bat,ODI,2024
1419828,2024-03-15,"Zahur Ahmed Chowdhury Stadium, Chattogram",Bangladesh,Sri Lanka,Sri Lanka,Sri Lanka,field,ODI,2024
