match_id,date,venue,team1,team2,winner,toss_winner,toss_decision,format,year
1466427,2025-03-05,"Gaddafi Stadium, Lahore",New Zealand,South Africa,New Zealand,New Zealand,bat,ODI,2025
1466428,2025-03-09,Dubai International Cricket Stadium,New Zealand,India,India,New Zealand,bat,ODI,2025
1467701,2025-02-14,Harare Sports Club,Zimbabwe,Ireland,Zimbabwe,Ireland,field,ODI,2025
1467702,2025-02-16,Harare Sports Club,Zimbabwe,Ireland,Ireland,Ireland,field,ODI,2025
1467703,2025-02-18,Harare Sports Club,Ireland,Zimbabwe,Zimbabwe,Zimbabwe,field,ODI,2025
1468399,2025-01-19,"Warner Park, Basseterre, St Kitts",Bangladesh,West Indies,West Indies,West Indies,field,ODI,2025
1468400,2025-01-21,"Warner Park, Basseterre, St Kitts",Bangladesh,West Indies,Bangladesh,West Indies,field,ODI,2025
1468401,2025-01-24,"Warner Park, Basseterre, St Kitts",Bangladesh,West Indies,West Indies,Bangladesh,bat,ODI,2025
1468879,2025-02-08,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),United States of America,Namibia,United States of America,Namibia,field,ODI,2025
1468880,2025-02-10,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Namibia,Oman,Namibia,Oman,field,ODI,2025
1468881,2025-02-12,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),United States of America,Oman,Oman,United States of America,bat,ODI,2025
1468882,2025-02-14,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),United States of America,Namibia,United States of America,Namibia,field,ODI,2025
1468883,2025-02-16,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Namibia,Oman,Oman,Namibia,bat,ODI,2025
1468884,2025-02-18,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),United States of America,Oman,United States of America,Oman,field,ODI,2025
1469168,2025-02-14,"R Premadasa Stadium, Colombo",Sri Lanka,Australia,Sri Lanka,Sri Lanka,bat,ODI,2025
1472511,2025-05-21,"Castle Avenue, Dublin",Ireland,West Indies,Ireland,West Indies,field,ODI,2025
1472512,2025-05-23,"Castle Avenue, Dublin",West Indies,Ireland,,Ireland,field,ODI,2025
1472513,2025-05-25,"Castle Avenue, Dublin",West Indies,Ireland,West Indies,Ireland,field,ODI,2025
1472534,2025-06-11,"Three Ws Oval, Cave Hill, Barbados",South Africa,West Indies,West Indies,South Africa,bat,ODI,2025
1472535,2025-06-14,"Three Ws Oval, Cave Hill, Barbados",South Africa,West Indies,South Africa,West Indies,field,ODI,2025
1472536,2025-06-17,"Three Ws Oval, Cave Hill, Barbados",South Africa,West Indies,South Africa,West Indies,field,ODI,2025
1474410,2025-03-07,"Wanderers Cricket Ground, Windhoek",Netherlands,Namibia,Netherlands,Namibia,field,ODI,2025
1474411,2025-03-09,"Wanderers Cricket Ground, Windhoek",Canada,Namibia,,Canada,bat,ODI,2025
1474413,2025-03-13,"Wanderers Cricket Ground, Windhoek",Namibia,Netherlands,Netherlands,Namibia,bat,ODI,2025
1474414,2025-03-15,"Wanderers Cricket Ground, Windhoek",Namibia,Canada,Namibia,Namibia,bat,ODI,2025
1476980,2025-04-27,"R Premadasa Stadium, Colombo",Sri Lanka,India,India,India,field,ODI,2025
